Mezőtúr;Gyomaendrőd;19,38
Mezőtúr;Szolnok;47,86
Tiszakécske;Szarvas;45,113
Tiszakécske;Szentes;44,726
Szarvas;Békéscsaba;47,663
Mezőberény;Békéscsaba;19,926
Gyula;Békéscsaba;16,759
Orosháza;Mezőhegyes;34,213
Sátoraljaújhely;Kisvárda;52,472
Nyíregyháza;Kisvárda;44,802
Záhony;Kisvárda;23,405
Hódmezővásárhely;Szeged;25,67
Hódmezővásárhely;Szentes;27,797
Hódmezővásárhely;Orosháza;31,787
Dunaújváros;Érd;52,725
Békéscsaba;Orosháza;39,109
